CH4,CO2,CO,Health Effect
Death within 1-2 hours."
2.1,11245,2157,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.2,8544,3375,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,722219,7831,Death within 30 minutes.
2,316504,5685,Death within 30 minutes.
2.1,14549,2492,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,46856,3207,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,512758,9072,Death within 30 minutes.
1.9,14638,3222,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,763589,9362,Death within 30 minutes.
1.9,33109,4646,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,24993,2533,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,136895,5989,Death within 30 minutes.
2,329551,6121,Death within 30 minutes.
2,38540,3670,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,26254,4996,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,37512,2433,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,759081,9859,Death within 30 minutes.
2,134915,9820,Death within 30 minutes.
2.1,684269,6248,Death within 30 minutes.
2.2,72808,6736,Death within 30 minutes.
2.1,3969,644,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2.2,4770,168,"Dizziness, naseau, fagitue, headache after 2-3 hours of exposure."
2.1,409727,9062,Death within 30 minutes.
2.1,29582,1792,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.2,41305,3719,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,25708,3879,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,33575,3397,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,3937,368,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2,254011,7741,Death within 30 minutes.
2,572540,5853,Death within 30 minutes.
2,516079,9474,Death within 30 minutes.
2,34289,2290,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,277721,7039,Death within 30 minutes.
2.1,472771,7603,Death within 30 minutes.
2.1,19222,2774,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.1,2643,1136,Loss of consciousness after 1 hour of exposure.
2.2,44717,2937,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,2937,363,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2.2,28822,4744,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,112974,9612,Death within 30 minutes.
2.3,715122,8747,Death within 30 minutes.
2.4,4759,1231,Loss of consciousness after 1 hour of exposure.
2.1,8834,3231,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,87497,8101,Death within 30 minutes.
2.2,688177,7604,Death within 30 minutes.
2.3,2670,1101,Loss of consciousness after 1 hour of exposure.
2.4,270150,5656,Death within 30 minutes.
2.4,200425,8243,Death within 30 minutes.
2.2,799300,5934,Death within 30 minutes.
2,3639,599,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2,319914,9262,Death within 30 minutes.
2,326532,9003,Death within 30 minutes.
2,43012,4191,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,725178,5820,Death within 30 minutes.
2,679699,8445,Death within 30 minutes.
2.1,749090,7467,Death within 30 minutes.
2,498447,7231,Death within 30 minutes.
2,47376,3455,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,10908,3400,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,753634,7321,Death within 30 minutes.
2.2,3072,335,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2,45975,3780,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,347093,6234,Death within 30 minutes.
2.1,592084,8975,Death within 30 minutes.
2.1,3299,317,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2.1,39703,4686,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,550925,5863,Death within 30 minutes.
2.5,39089,3605,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,563092,9472,Death within 30 minutes.
2.1,787532,7216,Death within 30 minutes.
2.1,454498,6428,Death within 30 minutes.
2.2,212115,6031,Death within 30 minutes.
2.1,319391,9923,Death within 30 minutes.
2.1,146900,6158,Death within 30 minutes.
2,269792,5722,Death within 30 minutes.
1.9,27410,2510,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,3765,396,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,3865,596,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,190926,6648,Death within 30 minutes.
1.9,205805,6347,Death within 30 minutes.
1.9,674782,6967,Death within 30 minutes.
2,36119,2620,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,567138,7431,Death within 30 minutes.
2,45984,3073,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,376604,8181,Death within 30 minutes.
2,11017,2517,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,666598,6373,Death within 30 minutes.
2,25208,4136,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,456899,5648,Death within 30 minutes.
2.2,35761,4662,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,29871,1878,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.3,2401,102,Slight headache after 1-2 hours.
2.3,37482,2198,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.3,305632,9063,Death within 30 minutes.
2.2,32335,5375,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,80990,8666,Death within 30 minutes.
2.2,7626,2547,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.1,10934,3774,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.8,2777,1079,Loss of consciousness after 1 hour of exposure.
1.8,418562,6000,Death within 30 minutes.
1.9,29605,2861,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,43143,1496,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,6658,3767,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,578339,6684,Death within 30 minutes.
1.9,34870,2703,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,300805,6636,Death within 30 minutes.
1.9,285119,9758,Death within 30 minutes.
2,30255,2950,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,2730,553,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2,301745,8636,Death within 30 minutes.
2,751861,6924,Death within 30 minutes.
2,4828,168,"Dizziness, naseau, fagitue, headache after 2-3 hours of exposure."
2,32505,1714,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,162287,8036,Death within 30 minutes.
2,733695,7985,Death within 30 minutes.
2.1,47355,5415,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,17034,3093,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,394066,9634,Death within 30 minutes.
2.2,16952,3395,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,48748,3422,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,3299,623,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,294633,9905,Death within 30 minutes.
1.9,48275,2224,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,30668,815,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2,574958,5765,Death within 30 minutes.
2,29754,825,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2,32968,2217,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,326510,8542,Death within 30 minutes.
1.9,427658,8634,Death within 30 minutes.
2,266566,9357,Death within 30 minutes.
2,20517,2788,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,195452,8647,Death within 30 minutes.
2.1,264747,7247,Death within 30 minutes.
2.2,2043,419,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2.3,399380,6132,Death within 30 minutes.
2.3,588831,6920,Death within 30 minutes.
2.2,49892,2322,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.4,12250,4416,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.7,38219,1441,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.6,239852,6016,Death within 30 minutes.
2.5,5238,4495,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.3,17291,4111,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,193817,5918,Death within 30 minutes.
1.9,3169,1397,Loss of consciousness after 1 hour of exposure.
2,6908,4111,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,48947,1761,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,2027,422,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,10295,5002,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,2243,640,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,98609,5859,Death within 30 minutes.
1.9,3776,1334,Loss of consciousness after 1 hour of exposure.
2,107616,5749,Death within 30 minutes.
2.1,221388,7958,Death within 30 minutes.
2.1,30817,738,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2,562973,7911,Death within 30 minutes.
2.2,11874,2032,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.2,725629,7351,Death within 30 minutes.
2.1,49540,852,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2.2,717380,5586,Death within 30 minutes.
2.1,574263,8079,Death within 30 minutes.
2.2,3193,970,Loss of consciousness after 1 hour of exposure.
2.3,24398,4544,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.7,10197,2110,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.7,3143,1175,Loss of consciousness after 1 hour of exposure.
2.6,237721,8999,Death within 30 minutes.
2.6,251859,8114,Death within 30 minutes.
2.6,694165,7400,Death within 30 minutes.
2,21217,3257,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,32116,4390,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,19041,2546,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,3090,641,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.8,16105,4363,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.8,14587,4262,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.8,27306,3225,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,11920,4770,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,13915,5136,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,382579,8136,Death within 30 minutes.
2,1308,92,Slight headache after 1-2 hours.
2,550506,6605,Death within 30 minutes.
2,46873,3063,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,309628,6504,Death within 30 minutes.
2.1,73995,7802,Death within 30 minutes.
2,8790,1705,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,6511,4141,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,367853,8079,Death within 30 minutes.
2.3,231269,5831,Death within 30 minutes.
2.1,419008,8696,Death within 30 minutes.
2.2,45951,1797,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.1,20939,1874,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,10083,5448,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,569042,8728,Death within 30 minutes.
1.9,61941,6924,Death within 30 minutes.
1.9,36562,4124,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,711060,8509,Death within 30 minutes.
1.9,39490,5282,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.8,15114,2380,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,3960,438,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,37695,5006,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,3344,907,Loss of consciousness after 1 hour of exposure.
1.9,6608,2311,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,465765,7051,Death within 30 minutes.
2,566568,7734,Death within 30 minutes.
2,617430,7847,Death within 30 minutes.
2.1,378267,6505,Death within 30 minutes.
2.1,44477,1486,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.2,495890,8364,Death within 30 minutes.
2.1,176858,6744,Death within 30 minutes.
2.3,5246,4321,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,11983,4081,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.2,44832,2180,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.2,618036,9585,Death within 30 minutes.
2.3,18509,3016,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.4,42232,3766,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.3,35436,4222,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,44491,4104,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,726410,8960,Death within 30 minutes.
2,23390,5373,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,3027,499,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,384992,5906,Death within 30 minutes.
1.8,645910,6786,Death within 30 minutes.
1.8,540908,7115,Death within 30 minutes.
1.9,4549,1269,Loss of consciousness after 1 hour of exposure.
1.8,29543,2089,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.8,72408,7967,Death within 30 minutes.
1.9,20450,3598,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,359099,7070,Death within 30 minutes.
1.9,706879,8272,Death within 30 minutes.
2,646554,8246,Death within 30 minutes.
2,606899,9624,Death within 30 minutes.
2.1,32584,2570,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.1,625779,6976,Death within 30 minutes.
2,12775,3975,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,784744,5774,Death within 30 minutes.
2,31487,837,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2.1,4230,984,Loss of consciousness after 1 hour of exposure.
2.2,49830,2505,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.2,46253,753,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
1.9,22827,3375,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,46374,1542,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,731707,8803,Death within 30 minutes.
1.9,9811,5299,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,533097,8336,Death within 30 minutes.
1.9,577522,8040,Death within 30 minutes.
1.9,2381,519,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,263373,8789,Death within 30 minutes.
1.9,45959,3279,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,446738,8122,Death within 30 minutes.
1.9,3062,1254,Loss of consciousness after 1 hour of exposure.
1.9,586116,6801,Death within 30 minutes.
1.9,17283,1664,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,28367,1448,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,780325,9735,Death within 30 minutes.
2,16523,3093,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,5266,4533,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,35409,5423,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,7298,1598,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.1,4784,254,"Dizziness, naseau, fagitue, headache after 2-3 hours of exposure."
2.1,606033,7233,Death within 30 minutes.
2,589272,7314,Death within 30 minutes.
2,33552,4888,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,736554,9721,Death within 30 minutes.
1.9,25590,3625,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,237497,5747,Death within 30 minutes.
1.9,2216,326,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,49728,2906,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,27731,1990,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,480508,5642,Death within 30 minutes.
1.9,591826,9766,Death within 30 minutes.
1.9,23131,2502,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,388158,7125,Death within 30 minutes.
1.9,21407,3350,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,459204,6433,Death within 30 minutes.
1.9,2230,43,Possible health effects with long-term exposure.
1.9,43788,849,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2,20625,4462,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,150864,8552,Death within 30 minutes.
2,47841,3981,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,46140,2582,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,24536,1433,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,37155,809,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2,16919,3631,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,115856,7289,Death within 30 minutes.
2,40292,4772,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,39887,3385,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,28028,1796,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,200109,9576,Death within 30 minutes.
2,544431,6676,Death within 30 minutes.
2,255272,7698,Death within 30 minutes.
2,9827,740,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
2,484905,7869,Death within 30 minutes.
2,3209,389,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2,39984,1752,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.1,350238,6129,Death within 30 minutes.
2.1,27657,4143,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,647954,8360,Death within 30 minutes.
2.1,11990,1577,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2.1,2961,181,"Dizziness, naseau, fagitue, headache after 2-3 hours of exposure."
2.1,27525,4592,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2.1,508303,7000,Death within 30 minutes.
2,325005,6938,Death within 30 minutes.
2,636247,7508,Death within 30 minutes.
2,665179,8829,Death within 30 minutes.
2,739296,9505,Death within 30 minutes.
2,636989,5575,Death within 30 minutes.
2,35698,2717,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,505469,6335,Death within 30 minutes.
2.1,280912,6418,Death within 30 minutes.
2,755229,7363,Death within 30 minutes.
2,47398,4451,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,27492,2854,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,26918,5320,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,2495,388,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,26275,2654,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,30033,1934,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,463833,7810,Death within 30 minutes.
1.9,11382,4776,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,38420,4474,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,4414,1019,Loss of consciousness after 1 hour of exposure.
1.9,14422,2262,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,413340,7663,Death within 30 minutes.
1.9,287258,9901,Death within 30 minutes.
1.9,495758,5845,Death within 30 minutes.
1.9,494475,7895,Death within 30 minutes.
1.9,492867,8531,Death within 30 minutes.
2,561414,8029,Death within 30 minutes.
2,15477,3888,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,33254,4635,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,3399,349,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2,8713,1866,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,39815,3132,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,29707,4023,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,464406,9506,Death within 30 minutes.
1.9,386120,7444,Death within 30 minutes.
1.9,4165,1105,Loss of consciousness after 1 hour of exposure.
1.9,8158,2408,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
1.9,8058,3686,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,13845,3759,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,34020,5431,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,535028,7501,Death within 30 minutes.
1.9,200700,8895,Death within 30 minutes.
1.9,3414,694,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
1.9,91107,6518,Death within 30 minutes.
1.9,291124,8169,Death within 30 minutes.
2,17032,3057,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
1.9,511569,6944,Death within 30 minutes.
2,42116,3643,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,543354,7969,Death within 30 minutes.
2,2552,569,"Headache and nausea after 1-2 hours of exposure.
Life threatening in 3 hours."
2,14891,2313,"Headache, nausea, and dizziness after 20 minutes of exposure.
Death within 1-2 hours."
2,454595,9305,Death within 30 minutes.
2,10656,3188,"Headache, nausea, and dizziness after 5-10 minutes; collapse and unconsciousness after 30 minutes of exposure.
Death within 1 hour."
2,7843,856,"Headache, nausea, and dizziness after 45 minutes; collapse and unconsciousness after 1 hour of exposure.
Death within 2-3 hours."
